formulation,seed,runtime_s,rel_l2_u,rel_l2_ux,max_abs_err_u,pde_res_rms,pde_res_max,ic_rms,ic_max,value_per_rms,value_per_max,deriv_per_rms,deriv_per_max,deriv_per_rms_rel,diff_flux_rms,total_flux_rms,total_flux_max,final_batch_loss,final_batch_pde,final_batch_ic,final_batch_bc_u,final_batch_bc_ux
A,42,130.6,5.140215e-03,6.250577e-03,8.771211e-03,2.791085e-03,3.443731e-02,2.805990e-03,4.287124e-03,3.131258e-03,1.000969e-02,1.010471e-01,2.334490e-01,3.297380e-02,5.052355e-03,6.823258e-03,1.738198e-02,2.319249e-05,6.162485e-06,1.093897e-05,6.091035e-06,
B,42,161.5,2.326539e-03,5.758582e-03,1.014628e-02,8.501091e-03,8.558893e-02,3.847522e-03,1.014702e-02,2.512221e-03,1.321581e-02,5.523834e-03,2.149820e-02,1.802544e-03,2.761917e-04,2.483095e-03,1.316908e-02,1.469218e-04,7.058679e-05,1.324604e-05,1.910181e-05,4.398721e-05
A,0,144.2,5.523044e-03,9.752929e-03,1.749805e-02,4.633221e-03,4.356861e-02,3.954712e-03,1.038152e-02,4.838441e-03,1.785426e-02,1.472553e-01,3.675089e-01,4.805252e-02,7.362767e-03,1.070923e-02,3.484210e-02,5.641792e-05,1.928982e-05,2.027293e-05,1.685517e-05,
B,0,153.8,4.021700e-03,6.184688e-03,1.265967e-02,8.886200e-03,9.062770e-02,4.595856e-03,1.266430e-02,3.529529e-03,1.824123e-02,6.587561e-03,1.628447e-02,2.149660e-03,3.293781e-04,3.465018e-03,1.826841e-02,1.509125e-04,7.502772e-05,4.189463e-05,9.885150e-06,2.410496e-05
A,1,152.3,6.086912e-03,9.636588e-03,1.067251e-02,4.216279e-03,3.830683e-02,3.171153e-03,7.530212e-03,2.711142e-03,9.724468e-03,1.534188e-01,4.237547e-01,5.006378e-02,7.670938e-03,8.749026e-03,2.417308e-02,3.504477e-05,1.621881e-05,9.006857e-06,9.819100e-06,
B,1,158.8,1.283633e-02,8.824127e-03,1.793784e-02,1.334776e-02,9.609437e-02,8.512135e-03,1.794598e-02,5.310155e-03,9.305149e-03,1.816514e-02,4.170990e-02,5.927669e-03,9.082571e-04,5.572576e-03,1.139064e-02,5.434701e-04,1.575632e-04,6.960847e-05,1.362416e-05,3.026743e-04
A,2,158.4,6.157305e-03,1.124205e-02,1.691864e-02,4.784885e-03,5.183212e-02,3.399065e-03,6.934464e-03,4.564113e-03,1.561657e-02,1.711021e-01,4.144440e-01,5.583423e-02,8.555105e-03,9.209538e-03,3.288185e-02,6.888878e-05,2.399007e-05,1.707302e-05,2.782570e-05,
B,2,169.8,6.423168e-03,5.717562e-03,1.698281e-02,1.116001e-02,9.430265e-02,6.125633e-03,1.698705e-02,3.069757e-03,1.591458e-02,4.530871e-03,2.926087e-02,1.478519e-03,2.265435e-04,3.042819e-03,1.577207e-02,1.516017e-04,8.639789e-05,2.290910e-05,1.752980e-05,2.476492e-05
A,3,154.9,5.283528e-03,5.136002e-03,6.714661e-03,3.071733e-03,2.982716e-02,2.918944e-03,5.696714e-03,5.163819e-03,9.388030e-03,7.972005e-02,1.652260e-01,2.601434e-02,3.986002e-03,2.602859e-03,1.168966e-02,4.182476e-05,5.953965e-06,1.120154e-05,2.466926e-05,
B,3,177.1,8.204207e-03,6.628153e-03,1.977864e-02,1.038903e-02,6.593275e-02,6.292070e-03,1.978860e-02,3.971216e-03,1.854230e-02,1.109558e-02,3.065658e-02,3.620724e-03,5.547793e-04,4.079421e-03,1.900230e-02,3.016306e-04,1.040789e-04,3.578979e-05,1.270819e-05,1.490537e-04
