formulation,seed,runtime_s,rel_l2_u,rel_l2_ux,max_abs_err_u,pde_res_rms,pde_res_max,ic_rms,ic_max,value_per_rms,value_per_max,deriv_per_rms,deriv_per_max,deriv_per_rms_rel,diff_flux_rms,total_flux_rms,total_flux_max,final_batch_loss,final_batch_pde,final_batch_ic,final_batch_bc_u,final_batch_bc_ux
A,42,377.2,3.070658e-03,4.234669e-03,4.391342e-03,1.393926e-03,3.074688e-02,6.930897e-04,2.542198e-03,8.092400e-04,3.728241e-03,7.544582e-02,1.796961e-01,2.461957e-02,3.772291e-03,3.833532e-03,9.970218e-03,3.290837e-06,2.025358e-06,5.411936e-07,7.242860e-07,
B,42,379.3,1.699144e-03,3.673013e-03,8.178879e-03,5.912593e-03,6.385724e-02,2.537581e-03,8.178528e-03,1.972395e-03,1.065566e-02,2.813326e-03,1.704311e-02,9.180478e-04,1.406663e-04,1.988972e-03,1.055688e-02,5.949564e-05,3.324191e-05,6.769139e-06,5.282093e-06,1.420249e-05
A,0,654.8,6.702879e-03,8.829965e-03,1.497322e-02,3.532029e-03,3.313366e-02,2.785878e-03,7.043518e-03,3.352933e-03,1.412466e-02,1.360057e-01,3.738718e-01,4.438153e-02,6.800285e-03,8.427897e-03,2.831587e-02,2.338190e-05,1.011787e-05,7.207399e-06,6.056627e-06,
B,0,660.9,1.541288e-03,4.208236e-03,1.043599e-02,6.611770e-03,5.716878e-02,3.034955e-03,1.043837e-02,2.335113e-03,1.269802e-02,3.687828e-03,2.204537e-02,1.203416e-03,1.843914e-04,2.358554e-03,1.292095e-02,6.512061e-05,4.002244e-05,7.400509e-06,9.404946e-06,8.292720e-06
A,1,994.0,6.487239e-03,7.980980e-03,9.242177e-03,3.510717e-03,3.372747e-02,2.558216e-03,6.071244e-03,2.615061e-03,7.217854e-03,1.307127e-01,3.690424e-01,4.265432e-02,6.535635e-03,5.978254e-03,1.794646e-02,2.355509e-05,1.091630e-05,5.352291e-06,7.286506e-06,
B,1,999.8,2.822908e-03,5.103563e-03,1.242989e-02,7.244191e-03,6.100404e-02,3.764477e-03,1.243389e-02,2.035188e-03,9.342268e-03,5.032883e-03,2.270770e-02,1.642336e-03,2.516441e-04,2.081298e-03,1.016696e-02,9.870752e-05,4.560174e-05,1.270605e-05,5.048382e-06,3.535134e-05
A,2,498.0,4.442018e-03,8.345514e-03,1.235740e-02,3.100430e-03,4.492767e-02,2.366590e-03,4.657358e-03,3.555408e-03,1.072739e-02,1.319587e-01,3.377237e-01,4.306090e-02,6.597934e-03,6.858043e-03,2.453587e-02,2.217749e-05,7.334981e-06,6.748890e-06,8.093618e-06,
B,2,494.7,1.767494e-03,4.029923e-03,1.138457e-02,6.473958e-03,8.047266e-02,3.041990e-03,1.139040e-02,2.664608e-03,1.416475e-02,3.355122e-03,2.130795e-02,1.094847e-03,1.677561e-04,2.666037e-03,1.407749e-02,6.077354e-05,3.758838e-05,7.473939e-06,5.744320e-06,9.966901e-06
A,3,423.5,3.061070e-03,3.027479e-03,3.816079e-03,1.812602e-03,2.949649e-02,1.051016e-03,2.505407e-03,9.592499e-04,2.845146e-03,5.400220e-02,1.288433e-01,1.762206e-02,2.700110e-03,2.972996e-03,7.727887e-03,4.189281e-06,2.814198e-06,3.112255e-07,1.063857e-06,
B,3,420.8,3.045827e-03,5.175020e-03,1.076873e-02,7.089963e-03,4.932308e-02,3.657924e-03,1.077046e-02,2.355816e-03,1.240534e-02,5.136484e-03,2.116680e-02,1.676143e-03,2.568242e-04,2.394783e-03,1.246690e-02,9.722626e-05,4.981296e-05,1.240238e-05,7.211260e-06,2.779966e-05
